Vernier Format 2
Untitled.cmbl 11.10.2021 16:20:52 ,
Latest
Time	GateState	Distance	Velocity	Acceleration
t	State	d	v	acc
s		m	m/s	m/s²

2,1060836	1	0	 	 
2,1382928	0	 	 	 
2,8544136	1	0,05	0,0794493169651	0,0337655167641
2,8733288	0	 	 	 
3,416588	1	0,1	0,0977186260508	0,0312296487422
3,4325832	0	 	 	 
3,892126	1	0,15	0,112653550171	0,0315830985873
3,9061832	0	 	 	 
4,3113308	1	0,2	0,124623821409	0,0255263201923
4,3250832	0	 	 	 
4,6972828	1	0,25	0,142546079706	0,067346670733
4,709284	0	 	 	 
5,0229868	1	0,3	0,147254472905	-0,0384345714094
5,0350836	0	 	 	 
5,3790836	1	0,35	0,15285560385	0,0698930453101
5,39133	0	 	 	 
5,6848192	1	0,4	0,16901838335	0,0358373930196
5,6951872	0	 	 	 
5,9719072	1	0,45	0,179238949851	0,03536423506
5,9803188	0	 	 	 
6,2435832	1	0,5	0,188254710572	0,0310071832534
6,2518836	0	 	 	 
6,5036124	1	0,55	0,196775286868	0,0345283511825
6,5116828	0	 	 	 
6,752284	1	0,6	0,203827549177	0,0221911319362
6,760684	0	 	 	 
6,9943984	1	0,65	0,220847167839	0,118400412084
7,0021848	0	 	 	 
7,2085104	1	0,7	0,219837285222	-0,127833630377
7,216632	0	 	 	 
7,4533856	1	0,75	0,217327220181	0,107332860675
7,4620056	0	 	 	 
7,6716856	1	0,8	0,233064193106	0,0368446283273
7,679192	0	 	 	 
7,8826992	1	0,85	0,240853905636	0,0369867505964
7,8889864	0	 	 	 
8,0870864	1	0,9	0,247730255681	0,0303007316502
8,0933872	0	 	 	 
8,2864872	1	0,95	0,254530911818	0,0379101896311
8,2926872	0	 	 	 
8,4801344	1	1	0,259945362412	0,0180105837585
8,4867184	0	 	 	 
8,6712176	1	1,05	0,277624852954	0,167034365685
8,6773888	0	 	 	 
8,842492	1	1,1	0,273384504764	-0,216549625287
8,8490232	0	 	 	 
9,0409896	1	1,15	0,266232982678	0,144493115928
9,0479952	0	 	 	 
9,2200904	1	1,2	0,282480554678	0,0369418302048
9,2262896	0	 	 	 
