Vernier Format 2
Untitled.cmbl 11.10.2021 16:35:22 ,
Latest
Time	GateState	Distance	Velocity	Acceleration
t	State	d	v	acc
s		m	m/s	m/s²

0,7854832	1	0	 	 
0,8103856	0	 	 	 
1,3780832	1	0,05	0,0937861229283	0,0317657023377
1,3967216	0	 	 	 
1,870198	1	0,1	0,111128030627	0,038713412287
1,8837132	0	 	 	 
2,2895048	1	0,15	0,12742568094	0,0390227480249
2,3016832	0	 	 	 
2,6607832	1	0,2	0,139604203974	0,0265804383411
2,6718832	0	 	 	 
3,0074948	1	0,25	0,148146895551	0,0226979335238
3,0190068	0	 	 	 
3,3366956	1	0,3	0,164337887133	0,0756675114045
3,3470164	0	 	 	 
3,6221832	1	0,35	0,165614999268	-0,0667206280029
3,632884	0	 	 	 
3,9450916	1	0,4	0,164799308714	0,0616684797559
3,9563832	0	 	 	 
4,2329836	1	0,45	0,178153080205	0,0311008329821
4,242788	0	 	 	 
4,5070832	1	0,5	0,188041182455	0,0410488691636
4,5150108	0	 	 	 
4,7656832	1	0,55	0,198337465704	0,0385820917783
4,7734836	0	 	 	 
5,0118832	1	0,6	0,206056267852	0,0241214187602
5,0194064	0	 	 	 
5,2511836	1	0,65	0,211005779237	0,0172450928335
5,259226	0	 	 	 
5,4858928	1	0,7	0,227134795267	0,120193201277
5,4933836	0	 	 	 
5,6945112	1	0,75	0,22485048529	-0,142092611661
5,7023876	0	 	 	 
5,9351832	1	0,8	0,219190797695	0,0950602390175
5,9436052	0	 	 	 
6,1530064	1	0,85	0,232981674176	0,0315642571825
6,1604832	0	 	 	 
6,3645832	1	0,9	0,240727237473	0,0416532534137
6,3707972	0	 	 	 
6,5686832	1	0,95	0,248788359637	0,0373386345163
6,5748988	0	 	 	 
6,7667144	1	1	0,255839134012	0,0338700879042
6,772884	0	 	 	 
6,9596848	1	1,05	0,260728247937	0,016802076575
6,9661848	0	 	 	 
7,1502848	1	1,1	0,27808328442	0,165307435319
7,1563856	0	 	 	 
7,3213856	1	1,15	0,273231388272	-0,222021327339
7,3278312	0	 	 	 
7,5204864	1	1,2	0,264033113405	0,129623156493
7,5274864	0	 	 	 
