Vernier Format 2
Untitled.cmbl 11.10.2021 16:27:26 ,
Latest
Time	GateState	Distance	Velocity	Acceleration
t	State	d	v	acc
s		m	m/s	m/s²

0,057484	1	0	 	 
0,064784	0	 	 	 
0,2622032	1	0,05	0,268720716758	0,239193320756
0,2688248	0	 	 	 
0,4349836	1	0,1	0,277822072545	-0,133841605088
0,4410904	0	 	 	 
0,6235168	1	0,15	0,265111413282	-0,000995752606164
0,6299836	0	 	 	 
0,8121836	1	0,2	0,263878864115	-0,012070130392
0,8181836	0	 	 	 
1,0024928	1	0,25	0,262193853969	-0,00563800085721
1,0084844	0	 	 	 
1,193584	1	0,3	0,261649143429	-6,30522536894E-005
1,1993152	0	 	 	 
1,384684	1	0,35	0,261234032156	-0,00428138806955
1,3913908	0	 	 	 
1,5763844	1	0,4	0,250546273401	-0,107223426265
1,583814	0	 	 	 
1,7852864	1	0,45	0,263344132726	0,229748431533
1,7920836	0	 	 	 
1,9615928	1	0,5	0,272315750769	-0,127975404093
1,9678292	0	 	 	 
2,1538924	1	0,55	0,259877827669	-0,00138443960604
2,160484	0	 	 	 
2,3463892	1	0,6	0,258526028293	-0,0126604627063
2,3525092	0	 	 	 
2,540718	1	0,65	0,256810873662	-0,00499162623833
2,546796	0	 	 	 
2,7357836	1	0,7	0,256423220001	0,00101702834396
2,7416316	0	 	 	 
2,9306984	1	0,75	0,25614811276	-0,00383987443429
2,937584	0	 	 	 
3,1261844	1	0,8	0,245750403431	-0,102538171354
3,1337836	0	 	 	 
3,3391004	1	0,85	0,258389229144	0,221259410836
3,345988	0	 	 	 
3,5187836	1	0,9	0,267242210372	-0,122719522536
3,525116	0	 	 	 
3,714692	1	0,95	0,255036727605	-0,00188445327697
3,721384	0	 	 	 
3,9108844	1	1	0,253667367348	-0,0120749076005
3,9170844	0	 	 	 
4,1089264	1	1,05	0,251893108033	-0,00584310287159
4,1151228	0	 	 	 
4,3078824	1	1,1	0,251408970432	0,00097632226117
4,313884	0	 	 	 
4,5066848	1	1,15	0,251173105607	-0,0033491791709
4,513684	0	 	 	 
4,7060156	1	1,2	0,241017602775	-0,0985467930808
4,7137836	0	 	 	 
